JockeyId,LastOff,JockeyNumberOfPriorRaces,JockeyWinPercentage,JockeyTop3Percentage,JockeyAvgRelFinishingPosition
113,2024-09-08 19:20:00,1.0,0.0,0.0,0.28
490,2024-09-15 16:10:00,4.0,0.0,0.0,0.6596153846153847
492,2024-05-02 18:35:00,2.0,0.0,0.0,0.6078947368421053
681,2024-07-25 19:35:00,2.0,0.0,0.0,0.36322395282020264
719,2024-09-15 15:45:00,133.0,0.07518796992481197,0.2857142857142857,0.5333521833000758
875,2023-11-24 13:30:00,1.0,0.0,1.0,0.6
1746,2024-03-16 18:25:00,1.0,0.0,0.0,0.8235294117647058
2033,2024-09-25 17:25:00,3.0,0.0,0.0,0.19362422175721408
2215,2024-08-22 19:50:00,1.0,0.0,0.0,0.0026666666666666666
2277,2024-10-25 22:16:00,123.0,0.16260162601626016,0.43089430894308944,0.41023557072721756
2456,2024-10-25 16:36:00,203.0,0.04433497536945807,0.23645320197044334,0.40941108869495135
2496,2024-10-25 17:25:00,74.0,0.013513513513513514,0.2702702702702703,0.392260452383727
2572,2024-10-25 18:45:00,615.0,0.12520325203252033,0.3430894308943089,0.34349561915593546
2746,2024-09-15 15:45:00,1.0,0.0,0.0,0.013937282229965157
2891,2023-10-08 13:11:00,3.0,0.0,0.0,0.8101851851851851
2916,2024-04-14 23:30:00,5.0,0.0,0.2,0.5473776223776224
2972,2024-10-20 14:10:00,162.0,0.12962962962962957,0.3518518518518518,0.4430659976932255
3009,2024-09-28 15:55:00,1.0,0.0,0.0,0.029644268774703556
3487,2024-10-04 17:20:00,21.0,0.14285714285714285,0.38095238095238093,0.4507798490357436
3572,2024-10-23 14:00:00,186.0,0.043010752688172005,0.1397849462365591,0.4230811158723693
4043,2024-10-05 22:48:00,72.0,0.09722222222222217,0.4583333333333333,0.3995762855968937
6629,2024-08-14 18:10:00,6.0,0.0,0.5,0.6866335141651598
6901,2024-10-25 17:25:00,531.0,0.1638418079096045,0.4519774011299435,0.2966733616230547
7062,2024-04-13 20:50:00,2.0,0.0,0.0,0.625
7110,2024-10-21 15:30:00,3.0,0.0,0.0,0.3477271936401282
7458,2024-09-21 17:20:00,238.0,0.10924369747899154,0.34453781512605036,0.4603546558377397
7605,2024-10-23 16:50:00,593.0,0.08431703204047211,0.2580101180438448,0.37706400951169844
8414,2024-05-18 18:28:00,3.0,0.0,0.6666666666666666,0.5396825396825397
8423,2024-09-15 15:45:00,1.0,0.0,0.0,0.020905923344947737
8716,2024-10-12 20:50:00,14.0,0.07142857142857141,0.2857142857142857,0.4459111150287621
8904,2024-09-15 16:10:00,1.0,0.0,0.0,0.23076923076923078
8992,2024-10-25 16:10:00,189.0,0.10052910052910047,0.3386243386243386,0.2718058794865771
9032,2024-10-16 17:20:00,34.0,0.1764705882352941,0.4705882352941176,0.29614912428558665
9135,2024-10-03 15:55:00,19.0,0.10526315789473684,0.3157894736842105,0.5209225892205874
9369,2024-09-15 15:45:00,1.0,0.0,0.0,0.0156794425087108
9485,2024-09-21 21:11:00,4.0,0.0,0.5,0.25750462370180677
9487,2024-02-24 14:40:00,1.0,0.0,0.0,0.45454545454545453
9594,2024-09-15 16:45:00,4.0,0.0,0.5,0.4650641025641025
9815,2024-10-10 15:15:00,9.0,0.0,0.1111111111111111,0.01827232238191662
9836,2024-10-24 17:35:00,645.0,0.13953488372093018,0.3984496124031007,0.35836715758685206
10024,2024-01-15 16:00:00,1.0,0.0,1.0,0.25
10115,2024-09-25 17:25:00,9.0,0.1111111111111111,0.4444444444444444,0.4691703090253815
10162,2024-04-12 14:45:00,20.0,0.09999999999999995,0.1999999999999999,0.6284191176470588
10322,2024-10-20 19:40:00,48.0,0.1458333333333333,0.45833333333333326,0.3726024326614643
10365,2024-08-31 23:00:00,4.0,0.25,0.5,0.4725324675324675
10368,2024-08-17 21:16:00,17.0,0.0,0.17647058823529413,0.6324378236142941
10407,2024-10-20 19:40:00,59.0,0.10169491525423721,0.27118644067796605,0.37725944957303187
10456,2024-09-15 13:05:00,2.0,0.0,0.0,0.4331550802139037
10590,2023-11-10 16:12:00,61.0,0.032786885245901606,0.2459016393442623,0.6011772608084083
10744,2024-09-16 16:00:00,5.0,0.0,0.0,0.6069902912621359
10766,2024-10-25 22:16:00,161.0,0.11801242236024845,0.3416149068322981,0.40233716121587004
11221,2024-02-03 21:50:00,1.0,0.0,0.0,0.7
11297,2023-12-16 21:32:00,40.0,0.07499999999999991,0.2,0.5291363497613499
11526,2024-03-10 17:20:00,1.0,0.0,0.0,0.9090909090909091
11644,2024-09-15 13:05:00,2.0,0.0,0.0,0.5477941176470589
11657,2024-02-24 22:45:00,1.0,0.0,0.0,0.8
11683,2024-10-16 17:20:00,35.0,0.057142857142857134,0.37142857142857133,0.2769237899653211
11905,2024-09-29 13:25:00,21.0,0.047619047619047616,0.19047619047619047,0.4959376688887102
12190,2024-10-02 13:30:00,1.0,0.0,0.0,0.02702702702702703
12227,2024-07-02 19:03:00,111.0,0.027027027027026956,0.18018018018018014,0.5817041221452985
12269,2024-10-02 15:52:00,15.0,0.06666666666666664,0.3333333333333333,0.5496541693600516
12290,2024-09-15 15:45:00,1.0,0.0,0.0,0.024390243902439025
12421,2024-05-04 21:39:00,94.0,0.031914893617021246,0.2340425531914893,0.5547062275785681
12456,2024-10-20 19:40:00,51.0,0.0784313725490196,0.19607843137254902,0.36207964731554826
12571,2024-10-12 15:25:00,13.0,0.0,0.07692307692307689,0.28267319232028737
12602,2024-06-15 21:55:00,1.0,0.0,0.0,0.7142857142857143
12637,2024-05-11 22:52:00,9.0,0.0,0.4444444444444444,0.5603535353535354
12956,2024-10-05 22:32:00,9.0,0.1111111111111111,0.3333333333333333,0.28607599491745833
13072,2023-12-16 21:32:00,7.0,0.0,0.42857142857142855,0.4651556776556776
13096,2024-10-20 19:40:00,13.0,0.0,0.07692307692307689,0.4772482643379516
13203,2024-10-25 19:30:00,488.0,0.08196721311475405,0.2807377049180328,0.333948044103169
13276,2024-10-06 13:00:00,24.0,0.12499999999999996,0.2916666666666667,0.4522682974705033
13346,2024-10-20 19:40:00,55.0,0.05454545454545449,0.2,0.5153618254084975
13393,2024-06-01 14:45:00,3.0,0.0,0.0,0.6671037296037295
13466,2024-10-19 22:25:00,43.0,0.18604651162790692,0.4186046511627906,0.2818557088905926
