FinishingPosition,Won,FractionalOdds,DecimalOdds,ResultStatus,RaceId,RaceName,CourseId,CourseName,Off,HorseId,HorseName
4,False,22/1,23,CompletedRace,814846,Sky Sports Racing HD Virgin 535 Amateur Jockeys' Handicap,15,Doncaster,07/07/2022 13:00:00,3310972,First Blood
6,False,10/1,11,CompletedRace,814844,At The Races App Market Movers Handicap,15,Doncaster,07/07/2022 13:30:00,883704,Just That Lord
6,False,8/1,9,CompletedRace,814843,Air Centric Air Conditioning Handicap,15,Doncaster,07/07/2022 14:00:00,893511,Giogiobbo
8,False,12/1,13,CompletedRace,814847,Cazoo EBF Maiden Stakes (GBB Race),15,Doncaster,07/07/2022 14:35:00,4076457,Reginald Charles
5,False,33/1,34,CompletedRace,814845,PPM Barnsley Novice Stakes (GBB Race),15,Doncaster,07/07/2022 15:10:00,4389458,Karapiro
5,False,9/2,5.5,CompletedRace,814841,Cazoo Handicap,15,Doncaster,07/07/2022 15:45:00,2664935,Jump The Gun
4,False,17/2,9.5,CompletedRace,814842,At The Races App Form Study Handicap,15,Doncaster,07/07/2022 16:20:00,3366891,Lucky Lucky Lucky
2,False,11/8F,2.375,CompletedRace,814865,British Stallion Studs EBF Maiden Fillies' Stakes (GBB Race),174,Newmarket (July),07/07/2022 13:20:00,4330653,Ivory Madonna
1,True,11/2,6.5,CompletedRace,814861,Bahrain Trophy Stakes (Group 3),174,Newmarket (July),07/07/2022 13:50:00,3777990,Deauville Legend
7,False,6/1,7,CompletedRace,814862,Close Brothers July Stakes (Group 2) (Colts & Geldings),174,Newmarket (July),07/07/2022 14:25:00,4269988,Brave Nation
1,True,16/1,17,CompletedRace,813929,Bet Boost At bet365 Handicap (Heritage Handicap),174,Newmarket (July),07/07/2022 15:00:00,3577228,Lethal Levi
6,False,11/8J,2.375,CompletedRace,813928,Princess Of Wales's Close Brothers Stakes (Group 2),174,Newmarket (July),07/07/2022 15:35:00,3448798,Mostahdaf
1,True,11/10F,2.1,CompletedRace,814863,Edmondson Hall Solicitors Sir Henry Cecil Stakes (Listed Race),174,Newmarket (July),07/07/2022 16:10:00,3811192,Mighty Ulysses
5,False,7/2,4.5,CompletedRace,814864,Weatherbys Hamilton Handicap,174,Newmarket (July),07/07/2022 16:40:00,3437724,Enforced
6,False,7/2,4.5,CompletedRace,814836,Lake District Handicap (Jockey Club Grassroots Middle Distance Series Qualifier),8,Carlisle,07/07/2022 13:40:00,3560226,Timbukone
1,True,12/1,13,CompletedRace,814840,32 West Handicap,8,Carlisle,07/07/2022 14:10:00,3138941,Water Of Leith
6,False,6/1,7,CompletedRace,814835,British EBF Fillies' Handicap,8,Carlisle,07/07/2022 14:45:00,3577227,Lady Lade
3,False,100/30,4.333333333333334,CompletedRace,814839,Irish EBF Maiden Fillies' Stakes (GBB Race) (IRE Incentive Race),8,Carlisle,07/07/2022 15:20:00,4326496,Fahari
8,False,8/1,9,CompletedRace,814838,Muckle Maiden Handicap,8,Carlisle,07/07/2022 15:55:00,3597225,Revoquable
2,False,4/1,5,CompletedRace,814837,Westward Handicap,8,Carlisle,07/07/2022 17:05:00,2801626,Dandy's Angel
6,False,11/2,6.5,CompletedRace,816433,Pharmacy Store Ireland Handicap,188,Limerick,07/07/2022 17:15:00,3536911,Hot Sunset
7,False,17/2,9.5,CompletedRace,816434,Sign Up On coasttocurragh.ie For Saturday August 27th Handicap,188,Limerick,07/07/2022 17:45:00,3102129,Rock Etoile
1,True,6/4F,2.5,CompletedRace,816435,Tadhg O'Connor Ltd Maiden,188,Limerick,07/07/2022 18:15:00,3835614,Sir Antonino
8,False,100/30,4.333333333333334,CompletedRace,816436,Have Fun At The Top Of The Town Askeaton Fillies & Mares Handicap,188,Limerick,07/07/2022 18:45:00,3662446,Helpmeout
5,False,EvensF,2,CompletedRace,816437,Annacotty Rated Race,188,Limerick,07/07/2022 19:15:00,2858012,Mazagran
2,False,5/2,3.5,CompletedRace,816438,Garryowen Maiden,188,Limerick,07/07/2022 19:45:00,3793495,Nusret
6,False,10/1,11,CompletedRace,816439,Caherdavin Handicap,188,Limerick,07/07/2022 20:15:00,2008471,Bring Us Paradise
2,False,7/1,8,CompletedRace,816429,Gavin James Playing Live After Racing Handicap,187,Leopardstown,07/07/2022 18:00:00,3469704,Might And Mercy
1,True,11/4F,3.75,CompletedRace,816430,Built With Pride By Richmond Homes Handicap,187,Leopardstown,07/07/2022 18:30:00,3841577,Ha Ha Ha
0,False,20/1,21,PulledUp,816431,Richmond Homes Handicap,187,Leopardstown,07/07/2022 19:00:00,3075254,Jazz Dreamers
9,False,13/2,7.5,CompletedRace,816366,Irish Stallion Farms EBF 'Nasrullah' Handicap (Premier Handicap),187,Leopardstown,07/07/2022 19:30:00,3500941,Entropy
5,False,10/1,11,CompletedRace,815502,Irish Stallion Farms EBF Stanerra Stakes (Group 3) (Fillies & Mares),187,Leopardstown,07/07/2022 20:00:00,3146569,Forbearance
5,False,11/4,3.75,CompletedRace,814859,Pump Technology Services Amateur Jockeys' Handicap,36,Newbury,07/07/2022 17:38:00,1516562,Thrave
4,False,2/1F,3,CompletedRace,814857,Pentair-Jung Pumpen EBF Restricted Novice Stakes (Bands C/D) (Qualifier) (Colts & Geldings),36,Newbury,07/07/2022 18:08:00,4281792,Desperate Hero
2,False,14/1,15,CompletedRace,814856,Win Races With Jonathan Portman EBF Fillies' Restricted Novice Stakes (Bands C/D) (GBB Race),36,Newbury,07/07/2022 18:38:00,4350743,Queen Of Uplands
3,False,28/1,29,CompletedRace,814854,Pump Technology 30th Year Anniversary Handicap,36,Newbury,07/07/2022 19:08:00,3097918,Longlai
2,False,2/7F,1.2857142857142856,CompletedRace,814855,Pegasus Pump Novice Stakes (GBB Race),36,Newbury,07/07/2022 19:38:00,4307320,Special Envoy
3,False,10/1,11,CompletedRace,814858,Lee Sanitation Handicap,36,Newbury,07/07/2022 20:08:00,2864381,Tazaman
6,False,18/1,19,CompletedRace,814860,Pump Technology Handicap,36,Newbury,07/07/2022 20:38:00,3057717,Hope Probe
3,False,9/4,3.25,CompletedRace,814852,Watch Racing Online Free With Coral Handicap,17,Epsom,07/07/2022 17:53:00,3638611,King Of The Kippax
4,False,100/30C,4.333333333333334,CompletedRace,814849,Coral 'Beaten-By-A-Length' Free Bet Handicap,17,Epsom,07/07/2022 18:53:00,2537617,Otago
1,True,13/2,7.5,CompletedRace,814848,Coral 'Get Closer To The Action' Handicap (Jockey Club Grassroots Sprint Series Qualifier),17,Epsom,07/07/2022 19:23:00,3039452,Toussarok
2,False,9/2J,5.5,CompletedRace,814850,Coral Proud Supporter Of British Racing Handicap,17,Epsom,07/07/2022 19:53:00,3177334,Lenny's Spirit
2,False,10/1,11,CompletedRace,814853,Coral Play 'Racing-Super-Series' For Free Handicap,17,Epsom,07/07/2022 20:23:00,3781893,Mrembo
4,False,16/1,17,CompletedRace,816595,Prix de Cheffreville (Conditions) (3yo) (Moyenne Course) (Turf),211,Longchamp,07/07/2022 16:15:00,3549388,Lorenzo De Medici
