FinishingPosition,Won,FractionalOdds,DecimalOdds,ResultStatus,RaceId,CourseId,CourseName,Off,HorseId,HorseName,WinProbability,Stake
3,False,9/4J,3.25,CompletedRace,925044,13,Chester,08/22/2026 17:35:00,6442171,St Mawes IRE,0.2853486,0
3,False,4/6F,1.6666666666666665,CompletedRace,925247,178,Curragh,08/22/2026 14:50:00,9300194,Alpha,0.35057297,0
1,True,2/1F,3,CompletedRace,925248,178,Curragh,08/22/2026 15:25:00,9286475,Giant Sequoia USA,0.28798082,0
3,False,14/5,3.8,CompletedRace,927198,206,Deauville,08/22/2026 13:31:00,9535720,Majnoun,0.379601,5
3,False,7/4,2.75,CompletedRace,927117,185,Killarney,08/22/2026 15:45:00,5793348,Bowensonfire FR,0.35007882,0
1,True,1/2F,1.5,CompletedRace,927118,185,Killarney,08/22/2026 16:20:00,5787761,Butch Cassidy,0.41705254,0
6,False,4/5F,1.8,CompletedRace,925049,393,Lingfield (AW),08/22/2026 18:15:00,8432201,Mountbatten GER,0.2643816,0
2,False,100/30,4.333333333333334,CompletedRace,925019,174,Newmarket (July),08/22/2026 14:44:00,7592659,Khuskhas,0.3129417,4.41
3,False,11/2,6.5,CompletedRace,925015,174,Newmarket (July),08/22/2026 16:29:00,4642854,Sixpack,0.31881255,1.57
1,True,2/13F,1.1538461538461537,CompletedRace,924806,39,Newton Abbot,08/22/2026 13:55:00,8205601,Playful Fox FR,0.44512725,0
2,False,4/5F,1.8,CompletedRace,924805,39,Newton Abbot,08/22/2026 15:05:00,6362961,Ice Jet IRE,0.4898289,0.89
1,True,8/13F,1.6153846153846154,CompletedRace,925020,1212,Ffos Las,08/21/2026 15:20:00,8973287,Korbut,0.4841071,0
2,False,4/9F,1.4444444444444444,CompletedRace,925027,22,Hamilton,08/21/2026 17:40:00,7935107,Lord d'Or GER,0.5212428,0
5,False,6/4F,2.5,CompletedRace,927064,185,Killarney,08/21/2026 17:12:00,9189370,Belicoso,0.2625692,3.09
7,False,9/2,5.5,CompletedRace,927067,185,Killarney,08/21/2026 18:50:00,7466836,Glitter And Glory,0.306237,5
2,False,13/8F,2.625,CompletedRace,927069,185,Killarney,08/21/2026 19:50:00,6855106,Lady Plimsoll,0.29379562,1.86
1,True,11/4,3.75,CompletedRace,925012,174,Newmarket (July),08/21/2026 15:45:00,8137388,Emma's Letter,0.2912474,0.75
4,False,8/11F,1.7272727272727273,CompletedRace,925009,174,Newmarket (July),08/21/2026 16:20:00,7503747,Rizal FR,0.50367683,0
3,False,7/2,4.5,CompletedRace,925013,174,Newmarket (July),08/21/2026 16:51:00,5641189,Hilltop,0.23964688,0
1,True,1/18F,1.0555555555555556,CompletedRace,925033,52,Salisbury,08/21/2026 19:27:00,9554434,Bintward,0.40998092,0
0,False,SP,,NonRunner,926967,185,Killarney,08/20/2026 17:43:00,8561228,Loch Cuan,0.23978567,2.86
8,False,5/1,6,CompletedRace,926948,187,Leopardstown,08/20/2026 20:00:00,8515685,Duchess Of Kenli FR,0.2232594,0
1,True,11/2,6.5,CompletedRace,925003,174,Newmarket (July),08/20/2026 16:20:00,7592670,Mr Writer IRE,0.28086075,0
4,False,5/2F,3.5,CompletedRace,925006,174,Newmarket (July),08/20/2026 16:51:00,7055594,Jack Langley,0.26187432,0.28
2,False,30/100F,1.3,CompletedRace,924800,67,Stratford,08/20/2026 17:35:00,9092881,Porcupine Bank IRE,0.5349767,0
1,True,2/1F,3,CompletedRace,924803,67,Stratford,08/20/2026 18:06:00,7499408,Rebel Tribesman IRE,0.33866835,0
1,True,9/4F,3.25,CompletedRace,924798,67,Stratford,08/20/2026 18:36:00,5746437,Captain Cool IRE,0.27747807,0
1,True,11/8F,2.375,CompletedRace,924799,67,Stratford,08/20/2026 19:06:00,7051293,Dunkerque DEN,0.47244766,0
1,True,3/1J,4,CompletedRace,924801,67,Stratford,08/20/2026 19:36:00,4455445,Glenmalure Flyer IRE,0.2976254,0
6,False,5/1,6,CompletedRace,922439,107,York,08/20/2026 15:35:00,8214882,Johanna Walsh IRE,0.28391582,0
6,False,5/1,6,CompletedRace,924982,8,Carlisle,08/19/2026 17:30:00,8009426,Ephron IRE,0.27211514,0.78
6,False,15/2,8.5,CompletedRace,925129,1079,Kempton (AW),08/19/2026 19:30:00,6692993,Breakdancer IRE,0.25666663,1.97
1,True,13/8F,2.625,CompletedRace,927042,1079,Kempton (AW),08/19/2026 20:30:00,5580089,Cavolo Nero,0.25398967,0
0,False,9/2,5.5,PulledUp,924794,101,Worcester,08/19/2026 17:02:00,4893400,Muskerry Rock IRE,0.3485159,0
7,False,7/1,8,CompletedRace,924797,101,Worcester,08/19/2026 17:33:00,7436477,Greer Hill IRE,0.22342224,2.58
3,False,6/4F,2.5,CompletedRace,923369,107,York,08/19/2026 15:00:00,7926343,Christmas Day IRE,0.4842062,1.11
3,False,7/4,2.75,CompletedRace,922438,107,York,08/19/2026 15:35:00,7748955,Constitution River FR,0.3234341,0
7,False,7/2,4.5,CompletedRace,924975,12,Chepstow,08/18/2026 16:25:00,9531400,Rogue Exile IRE,0.37397143,0
6,False,9/2,5.5,CompletedRace,925126,513,Wolverhampton (AW),08/18/2026 19:00:00,6265615,Gladiadora IRE,0.24677178,0.72
1,True,5/4F,2.25,CompletedRace,925125,513,Wolverhampton (AW),08/18/2026 20:00:00,8219421,Heroics,0.40409052,0.66
7,False,100/30,4.333333333333334,CompletedRace,924962,10,Catterick,08/17/2026 14:15:00,5218435,Super Hit FR,0.29443768,1.44
3,False,11/4,3.75,CompletedRace,925106,393,Lingfield (AW),08/17/2026 14:30:00,9115640,Parading,0.36478302,0.72
2,False,EvensF,2,CompletedRace,926988,206,Deauville,08/16/2026 12:58:00,8309180,Calasita IRE,0.41267166,1.75
5,False,12/5,3.4,CompletedRace,926989,206,Deauville,08/16/2026 13:33:00,9568632,Jassas GB,0.44364607,0
3,False,2/1F,3,CompletedRace,926990,206,Deauville,08/16/2026 14:50:00,7601611,Precise IRE,0.25419623,0
1,True,15/8F,2.875,CompletedRace,924958,46,Pontefract,08/16/2026 16:15:00,8468003,Luna Celeste IRE,0.34840867,0.14
1,True,6/4F,2.5,CompletedRace,924957,46,Pontefract,08/16/2026 17:15:00,6710718,High Degree,0.3167876,0
5,False,5/1,6,CompletedRace,924956,46,Pontefract,08/16/2026 18:15:00,5663053,Sixty Plus IRE,0.2912983,0
1,True,2/5F,1.4,CompletedRace,926936,206,Deauville,08/15/2026 12:58:00,7457802,Rabbit's Foot,0.48318747,1.54
4,False,11/10F,2.1,CompletedRace,926937,206,Deauville,08/15/2026 13:33:00,7830208,Montreal IRE,0.43219474,0
4,False,3/1,4,CompletedRace,924942,15,Doncaster,08/15/2026 14:30:00,7900535,One Of The Boys IRE,0.2668161,0
4,False,9/4,3.25,CompletedRace,924945,15,Doncaster,08/15/2026 16:45:00,7762480,Berlinetta,0.25070974,0
1,True,5/4,2.25,CompletedRace,924780,35,Market Rasen,08/15/2026 18:04:00,7258540,Loriko FR,0.4302467,0
7,False,5/1,6,CompletedRace,924781,35,Market Rasen,08/15/2026 18:34:00,5574492,Belle Le Grand,0.22547317,0.39
1,True,13/2,7.5,CompletedRace,924782,35,Market Rasen,08/15/2026 19:04:00,8489903,Kiwi de Cotte FR,0.32961512,0
0,False,SP,,NonRunner,924915,36,Newbury,08/15/2026 13:25:00,5826604,Mount Atlas,0.36199594,0
7,False,7/2,4.5,CompletedRace,924916,36,Newbury,08/15/2026 14:35:00,5048062,Great Acclaim,0.2358234,0.47
7,False,4/1,5,CompletedRace,924210,36,Newbury,08/15/2026 15:10:00,8589413,Extremely Zain FR,0.24577443,0
4,False,2/1,3,CompletedRace,924918,36,Newbury,08/15/2026 16:55:00,8406269,Bayaann,0.3404389,0
4,False,5/2,3.5,CompletedRace,924927,174,Newmarket (July),08/15/2026 14:43:00,9060379,Alma Latina,0.34977818,0
3,False,1/2F,1.5,CompletedRace,924929,174,Newmarket (July),08/15/2026 15:13:00,9290853,Eabha IRE,0.49317867,0
3,False,1/3F,1.3333333333333333,CompletedRace,924931,174,Newmarket (July),08/15/2026 15:50:00,8214901,Del Corso,0.5104392,0
1,True,100/30,4.333333333333334,CompletedRace,924932,174,Newmarket (July),08/15/2026 16:25:00,9153191,Lightning Glory IRE,0.38381165,0.4
2,False,3/1,4,CompletedRace,924933,174,Newmarket (July),08/15/2026 17:00:00,8039761,Norcross Brow,0.3428542,0
1,True,7/4F,2.75,CompletedRace,924790,41,Perth,08/15/2026 13:40:00,8565931,Try Them IRE,0.24776268,0
0,False,6/5F,2.2,UnseatedRider,924786,41,Perth,08/15/2026 14:15:00,5587080,Tamarind Bay IRE,0.4643492,0
3,False,3/1F,4,CompletedRace,924785,41,Perth,08/15/2026 16:05:00,5431085,Filibustering,0.25628042,0
5,False,3/1J,4,CompletedRace,924787,41,Perth,08/15/2026 16:40:00,3891093,Shantou Show IRE,0.29165235,5
1,True,10/11F,1.9090909090909092,CompletedRace,924952,49,Ripon,08/15/2026 16:30:00,8245518,Clocker,0.4080472,4.06
0,False,SP,,NonRunner,926412,445,Saratoga,08/15/2026 22:06:00,6568899,Fort George GB,0.2673106,1.78
5,False,7/4F,2.75,CompletedRace,926485,200,Tramore,08/15/2026 17:55:00,7900549,Rodeo Blues,0.2533733,0
1,True,27/10F,3.7,CompletedRace,926904,252,Clairefontaine,08/14/2026 15:03:00,8018259,Mirik,0.23333965,0
1,True,5/2,3.5,CompletedRace,926423,596,Cork,08/14/2026 18:03:00,9467457,Alwaysanangel,0.27532127,0
3,False,5/1,6,CompletedRace,925430,596,Cork,08/14/2026 19:10:00,7866001,Caught U Sleeping,0.2465673,2.45
2,False,7/4F,2.75,CompletedRace,924895,17,Epsom,08/14/2026 14:48:00,9295567,Wise And Wonderful,0.4210373,0
1,True,8/13F,1.6153846153846154,CompletedRace,924891,17,Epsom,08/14/2026 15:23:00,9396428,Tansy Lane,0.30702245,0
4,False,7/4,2.75,CompletedRace,924893,17,Epsom,08/14/2026 17:13:00,7922013,Trio,0.30303818,0
1,True,10/11F,1.9090909090909092,CompletedRace,924914,36,Newbury,08/14/2026 15:00:00,8137387,We Ride At Dawn,0.38595787,0
6,False,11/4F,3.75,CompletedRace,924913,36,Newbury,08/14/2026 17:58:00,7493141,Lyra Lea,0.27731913,2.43
6,False,11/8F,2.375,CompletedRace,924925,174,Newmarket (July),08/14/2026 18:27:00,5042476,Rising Force IRE,0.25521794,0
8,False,11/2F,6.5,CompletedRace,924921,174,Newmarket (July),08/14/2026 19:37:00,5881623,Storm Star,0.23109174,3.02
2,False,5/6F,1.8333333333333335,CompletedRace,924900,80,Thirsk,08/14/2026 19:18:00,7020589,Return Of The Gods IRE,0.2355292,0
2,False,6/5F,2.2,CompletedRace,924905,104,Yarmouth,08/14/2026 15:13:00,6367244,Arcturus Flame IRE,0.33861455,0
3,False,9/4,3.25,CompletedRace,924869,6,Beverley,08/13/2026 16:15:00,7677633,Mr Moonshine IRE,0.3435758,0.06
7,False,43/5,9.6,CompletedRace,926507,206,Deauville,08/13/2026 16:45:00,9295471,Lovely Warrior,0.28021523,5
9,False,8/5F,2.6,CompletedRace,926509,206,Deauville,08/13/2026 17:58:00,7882434,Gentlemanlike,0.2527298,0
3,False,4/1,5,CompletedRace,925148,393,Lingfield (AW),08/13/2026 17:23:00,3147622,Kaaranah IRE,0.27416968,0
1,True,EvensF,2,CompletedRace,924881,52,Salisbury,08/13/2026 18:04:00,9554424,Flooding IRE,0.53148216,0
7,False,3/1,4,CompletedRace,924879,52,Salisbury,08/13/2026 19:34:00,8205612,Counter Intuitive IRE,0.30280942,0
4,False,10/11F,1.9090909090909092,CompletedRace,924882,52,Salisbury,08/13/2026 20:04:00,9179733,Seven Sisters,0.35200605,0
1,True,13/8F,2.625,CompletedRace,926329,200,Tramore,08/13/2026 17:11:00,6514086,Luker's Tipple,0.26802942,0.56
1,True,7/4,2.75,CompletedRace,926332,200,Tramore,08/13/2026 18:48:00,4879085,Rightfolksplease,0.5102731,2.71
1,True,5/2F,3.5,CompletedRace,926333,200,Tramore,08/13/2026 19:18:00,7534482,Lureka Du Noyer FR,0.24868551,0
3,False,4/6F,1.6666666666666665,CompletedRace,924888,93,Windsor,08/13/2026 20:11:00,8313782,Mythological Star IRE,0.54270095,0
1,True,2/1F,3,CompletedRace,924864,6,Beverley,08/12/2026 16:15:00,7727253,Ciao Capo IRE,0.30449733,0.37
3,False,6/4F,2.5,CompletedRace,924857,1212,Ffos Las,08/12/2026 17:40:00,8188066,John Harrison,0.2605889,0
