RaceId,RaceName,CourseId,CourseName,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating
813803,racingtv.com Maiden Stakes (A Hamilton Park 2Yo Series Qualifier) (GBB Race),22,Hamilton,Other,Class 4,,,2yo,None,6f,6,1206,1320,Good To Firm,Turf,4379550,Blue Yonder,79004,Tony Hamilton,8010,Richard Fahey,2,,1,6,9-7,151,SP,,,63,55
813803,racingtv.com Maiden Stakes (A Hamilton Park 2Yo Series Qualifier) (GBB Race),22,Hamilton,Other,Class 4,,,2yo,None,6f,6,1206,1320,Good To Firm,Turf,4307331,Catch The Paddy,91867,Kevin Stott,22525,Kevin Ryan,2,,2,4,9-7,151,SP,,,89,64
813803,racingtv.com Maiden Stakes (A Hamilton Park 2Yo Series Qualifier) (GBB Race),22,Hamilton,Other,Class 4,,,2yo,None,6f,6,1206,1320,Good To Firm,Turf,4175361,Chuck Taylor,2572,Joe Fanning,39124,Charlie & Mark Johnston,2,,3,1,9-7,151,SP,,,57,
813803,racingtv.com Maiden Stakes (A Hamilton Park 2Yo Series Qualifier) (GBB Race),22,Hamilton,Other,Class 4,,,2yo,None,6f,6,1206,1320,Good To Firm,Turf,4336808,Marie's Jewel,100783,Jonny Peate,32385,Roger Fell,2,,5,3,9-7,151,SP,,,62,32
813803,racingtv.com Maiden Stakes (A Hamilton Park 2Yo Series Qualifier) (GBB Race),22,Hamilton,Other,Class 4,,,2yo,None,6f,6,1206,1320,Good To Firm,Turf,4340204,Lumacho,85793,William Buick,36211,George Boughey,2,h,6,5,9-2,146,SP,,,44,25
813804,Book Our On-Site Hotel Ferniegair Handicap,22,Hamilton,Other,Class 5,,0-75,3yo,None,1m½f,8.5,1709,1870,Good To Firm,Turf,3643985,Head Chef,82231,Daniel Tudhope,22839,David O'Meara,3,v,1,1,9-9,153,SP,,73,83,69
813804,Book Our On-Site Hotel Ferniegair Handicap,22,Hamilton,Other,Class 5,,0-75,3yo,None,1m½f,8.5,1709,1870,Good To Firm,Turf,3521624,Shaladar,91867,Kevin Stott,22525,Kevin Ryan,3,p,2,5,9-9,153,SP,,73,84,71
813804,Book Our On-Site Hotel Ferniegair Handicap,22,Hamilton,Other,Class 5,,0-75,3yo,None,1m½f,8.5,1709,1870,Good To Firm,Turf,3861045,Spy,90243,Jason Hart,39124,Charlie & Mark Johnston,3,,3,2,9-8,152,SP,,72,88,55
813804,Book Our On-Site Hotel Ferniegair Handicap,22,Hamilton,Other,Class 5,,0-75,3yo,None,1m½f,8.5,1709,1870,Good To Firm,Turf,4078845,Come On John,85620,Ben Curtis,32385,Roger Fell,3,,4,7,9-7,151,SP,,71,82,74
813804,Book Our On-Site Hotel Ferniegair Handicap,22,Hamilton,Other,Class 5,,0-75,3yo,None,1m½f,8.5,1709,1870,Good To Firm,Turf,3560226,Timbukone,87290,Sam James,24548,Keith Dalgleish,3,,5,3,9-5,149,SP,,69,81,66
813804,Book Our On-Site Hotel Ferniegair Handicap,22,Hamilton,Other,Class 5,,0-75,3yo,None,1m½f,8.5,1709,1870,Good To Firm,Turf,3636540,Heights Of Aran,94225,Callum Rodriguez,24548,Keith Dalgleish,3,v,6,6,9-3,147,SP,,67,85,69
813804,Book Our On-Site Hotel Ferniegair Handicap,22,Hamilton,Other,Class 5,,0-75,3yo,None,1m½f,8.5,1709,1870,Good To Firm,Turf,3569335,May Punch,78223,David Allan,10152,Tim Easterby,3,p,7,4,8-9,137,SP,,59,84,69
813805,Hamilton Park Supporting Racing Staff Week Novice Stakes (GBB Race),22,Hamilton,Other,Class 5,,,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,4297869,Alfred Cove,82231,Daniel Tudhope,22839,David O'Meara,3,,1,7,9-7,151,SP,,62,69,38
813805,Hamilton Park Supporting Racing Staff Week Novice Stakes (GBB Race),22,Hamilton,Other,Class 5,,,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,4407212,Bonito Cavalo,79371,Paul Mulrennan,7795,Jim Goldie,3,,2,3,9-7,151,SP,,,,
813805,Hamilton Park Supporting Racing Staff Week Novice Stakes (GBB Race),22,Hamilton,Other,Class 5,,,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,3687268,Motashaweq,81166,Andrew Mullen,21516,Iain Jardine,3,,4,6,9-7,151,SP,,,66,59
813805,Hamilton Park Supporting Racing Staff Week Novice Stakes (GBB Race),22,Hamilton,Other,Class 5,,,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,4257436,Phoenix Beach,78398,Barry McHugh,8010,Richard Fahey,3,,6,5,9-7,151,SP,,,80,51
813805,Hamilton Park Supporting Racing Staff Week Novice Stakes (GBB Race),22,Hamilton,Other,Class 5,,,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,4275938,Wee Fat Mac,92961,Jamie Gormley,21516,Iain Jardine,3,,7,1,9-7,151,SP,,,48,15
813805,Hamilton Park Supporting Racing Staff Week Novice Stakes (GBB Race),22,Hamilton,Other,Class 5,,,3yo+,None,5f,5,1005,1100,Good To Firm,Turf,3560220,Frisky,85793,William Buick,36683,Simon Pearce,3,,8,8,9-2,146,SP,,68,79,60
813800,Stay At Hampton By Hilton Almada Mile Handicap (For The Watson Memorial Cup),22,Hamilton,Other,Class 2,,0-100,3yo+,None,1m½f,8.5,1709,1870,Good To Firm,Turf,1006061,Redarna,84541,James Sullivan,10678,Dianne Sayer,8,p,1,4,10-2,162,SP,,94,97,64
813800,Stay At Hampton By Hilton Almada Mile Handicap (For The Watson Memorial Cup),22,Hamilton,Other,Class 2,,0-100,3yo+,None,1m½f,8.5,1709,1870,Good To Firm,Turf,1813523,Cockalorum,85620,Ben Curtis,32385,Roger Fell,7,,2,6,10-2,162,SP,,94,101,63
813800,Stay At Hampton By Hilton Almada Mile Handicap (For The Watson Memorial Cup),22,Hamilton,Other,Class 2,,0-100,3yo+,None,1m½f,8.5,1709,1870,Good To Firm,Turf,2537474,Fame And Acclaim,94663,Lewis Edmunds,29218,Les Eyre,5,,3,7,10-1,161,SP,,93,102,81
813800,Stay At Hampton By Hilton Almada Mile Handicap (For The Watson Memorial Cup),22,Hamilton,Other,Class 2,,0-100,3yo+,None,1m½f,8.5,1709,1870,Good To Firm,Turf,1909692,Hortzadar,82231,Daniel Tudhope,22839,David O'Meara,7,,4,3,10-1,161,SP,,93,99,74
