RaceId,RaceName,CourseId,CourseName,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating,ResultStatus,FinishingPosition,BeatenDistance,OverallBeatenDistance,RaceTime,RaceTimeInSeconds
811106,St Mary's Hospice Selling Handicap Hurdle,9,Cartmel,Hurdle,Class 5,,0-100,4yo+,None,2m1f,17,3418,3740,Good To Soft,Turf,865774,Hey Bob,99669,Ned Fox,29500,Jake Thomas Coulson,10,t,4,,11-2,178,9/2,5.5,95,102,84,CompletedRace,1,0,0,00:04:21.4200000,261.42
811106,St Mary's Hospice Selling Handicap Hurdle,9,Cartmel,Hurdle,Class 5,,0-100,4yo+,None,2m1f,17,3418,3740,Good To Soft,Turf,964476,Bestiarius,97204,Tom Midgley,28032,Gillian Boanas,10,,7,,11-1,177,100/30,4.333333333333334,92,95,78,CompletedRace,2,2.5,2.5,00:04:21.9755555,261.9755555
811106,St Mary's Hospice Selling Handicap Hurdle,9,Cartmel,Hurdle,Class 5,,0-100,4yo+,None,2m1f,17,3418,3740,Good To Soft,Turf,881106,Applesandpierres,100546,Miss Roisin Leech,19755,Sophie Leech,14,b,5,,11-2,178,6/1,7,95,93,73,CompletedRace,3,7.5,10,00:04:23.6422222,263.6422222
811106,St Mary's Hospice Selling Handicap Hurdle,9,Cartmel,Hurdle,Class 5,,0-100,4yo+,None,2m1f,17,3418,3740,Good To Soft,Turf,2564330,Dee Lane,96895,Kevin Brogan,6109,Gary Hanmer,9,,10,,10-2,162,14/1,15,74,59,36,CompletedRace,4,13,23,00:04:26.5311111,266.5311111
811106,St Mary's Hospice Selling Handicap Hurdle,9,Cartmel,Hurdle,Class 5,,0-100,4yo+,None,2m1f,17,3418,3740,Good To Soft,Turf,867749,The Steward,95535,Charlotte Jones,15603,James Moffatt,11,b,1,,11-13,189,11/4F,3.75,102,81,56,CompletedRace,5,6.5,29.5,00:04:27.9755555,267.9755555
811106,St Mary's Hospice Selling Handicap Hurdle,9,Cartmel,Hurdle,Class 5,,0-100,4yo+,None,2m1f,17,3418,3740,Good To Soft,Turf,2116165,Lady Shanawell,83698,Richie McLernon,22367,Ben Haslam,6,,3,,11-13,189,17/2,9.5,99,71,45,CompletedRace,6,7,36.5,00:04:29.5311111,269.5311111
811106,St Mary's Hospice Selling Handicap Hurdle,9,Cartmel,Hurdle,Class 5,,0-100,4yo+,None,2m1f,17,3418,3740,Good To Soft,Turf,1576289,Highland Sky,81409,Brian Hughes,4431,Brian Ellison,7,v1,9,,10-2,162,15/2,8.5,74,,,CompletedRace,7,98,134.5,00:04:51.3088888,291.3088888
811106,St Mary's Hospice Selling Handicap Hurdle,9,Cartmel,Hurdle,Class 5,,0-100,4yo+,None,2m1f,17,3418,3740,Good To Soft,Turf,2597392,Sorbonne,82485,Sean Quinlan,9692,Barry Murtagh,6,p1,8,,10-6,166,80/1,81,78,,,PulledUp,0,0,0,00:04:21.4200000,261.42
811103,Remembering Nicholas Hooton Handicap Hurdle,9,Cartmel,Hurdle,Class 4,,0-120,4yo+,None,2m6f,22,4423,4840,Good To Soft,Turf,2346384,Jelski,95535,Charlotte Jones,15603,James Moffatt,8,p,2,,11-10,186,11/2,6.5,109,120,77,CompletedRace,1,0,0,00:05:43.6500000,343.65
811103,Remembering Nicholas Hooton Handicap Hurdle,9,Cartmel,Hurdle,Class 4,,0-120,4yo+,None,2m6f,22,4423,4840,Good To Soft,Turf,2887635,Hungry Tiger,85783,Jonathon Bewley,6351,George Bewley,8,,8,,10-13,173,7/2,4.5,98,86,43,CompletedRace,2,25,25,00:05:49.2055555,349.2055555
811103,Remembering Nicholas Hooton Handicap Hurdle,9,Cartmel,Hurdle,Class 4,,0-120,4yo+,None,2m6f,22,4423,4840,Good To Soft,Turf,3196019,Lock Down Luke,82485,Sean Quinlan,26482,Jackie Stephen,6,,5,,11-8,184,11/4F,3.75,104,87,45,CompletedRace,3,3.5,28.5,00:05:49.9833333,349.9833333
811103,Remembering Nicholas Hooton Handicap Hurdle,9,Cartmel,Hurdle,Class 4,,0-120,4yo+,None,2m6f,22,4423,4840,Good To Soft,Turf,2785942,Global Agreement,92841,Kevin Jones,2928,Milton Harris,5,p,7,,11-6,182,8/1,9,102,77,34,CompletedRace,4,9.5,38,00:05:52.0944444,352.0944444
811103,Remembering Nicholas Hooton Handicap Hurdle,9,Cartmel,Hurdle,Class 4,,0-120,4yo+,None,2m6f,22,4423,4840,Good To Soft,Turf,2951957,Line Of Descent,87437,Henry Brooke,22011,Warren Greatrex,4,,9,,11-0,176,9/1,10,102,71,26,CompletedRace,5,2,40,00:05:52.5388888,352.5388888
811103,Remembering Nicholas Hooton Handicap Hurdle,9,Cartmel,Hurdle,Class 4,,0-120,4yo+,None,2m6f,22,4423,4840,Good To Soft,Turf,2259901,Rukwa,97204,Tom Midgley,31667,Sam England,8,,4,,11-5,181,17/2,9.5,106,72,29,CompletedRace,6,8,48,00:05:54.3166666,354.3166666
811103,Remembering Nicholas Hooton Handicap Hurdle,9,Cartmel,Hurdle,Class 4,,0-120,4yo+,None,2m6f,22,4423,4840,Good To Soft,Turf,2394638,Vermilion Cliffs,91573,William Shanahan,15603,James Moffatt,5,,6,,10-13,173,6/1,7,102,68,24,CompletedRace,7,0.3,48.25,00:05:54.3722222,354.3722222
811103,Remembering Nicholas Hooton Handicap Hurdle,9,Cartmel,Hurdle,Class 4,,0-120,4yo+,None,2m6f,22,4423,4840,Good To Soft,Turf,1128223,Turning Gold,88907,Gavin Sheehan,35628,Robert Bevis,8,tp,3,,11-12,188,16/1,17,108,73,30,CompletedRace,8,0.75,49,00:05:54.5388888,354.5388888
