RaceId,CourseId,CourseName,Off,HorseId,HorseName,WinProbability,Stake
925044,13,Chester,2026-08-22 17:35:00,6442171,St Mawes IRE,0.2853486,0.0
925247,178,Curragh,2026-08-22 14:50:00,9300194,Alpha,0.35057297,0.0
925248,178,Curragh,2026-08-22 15:25:00,9286475,Giant Sequoia USA,0.28798082,0.0
927198,206,Deauville,2026-08-22 13:31:00,9535720,Majnoun,0.379601,5.0
927117,185,Killarney,2026-08-22 15:45:00,5793348,Bowensonfire FR,0.35007882,0.0
927118,185,Killarney,2026-08-22 16:20:00,5787761,Butch Cassidy,0.41705254,0.0
925049,393,Lingfield (AW),2026-08-22 18:15:00,8432201,Mountbatten GER,0.2643816,0.0
925019,174,Newmarket (July),2026-08-22 14:44:00,7592659,Khuskhas,0.3129417,4.41
925015,174,Newmarket (July),2026-08-22 16:29:00,4642854,Sixpack,0.31881255,1.57
924806,39,Newton Abbot,2026-08-22 13:55:00,8205601,Playful Fox FR,0.44512725,0.0
924805,39,Newton Abbot,2026-08-22 15:05:00,6362961,Ice Jet IRE,0.4898289,0.89
