TrainerId,TrainerNumberOfPriorRaces,TrainerWinPercentage,TrainerTop3Percentage,TrainerAvgRelFinishingPosition
13,131.0,0.0916030534351145,0.3435114503816794,0.5843341106082462
32,41.0,0.0975609756097561,0.36585365853658536,0.5423068124287636
35,78.0,0.02564102564102564,0.24358974358974358,0.6251688838227298
67,190.0,0.20526315789473684,0.5473684210526316,0.47899728410564324
78,114.0,0.043859649122807015,0.24561403508771928,0.638756509530096
158,48.0,0.10416666666666667,0.2916666666666667,0.5640754500129501
208,14.0,0.14285714285714285,0.2857142857142857,0.5375187837372711
225,5.0,0.0,0.0,0.9583333333333333
268,9.0,0.1111111111111111,0.1111111111111111,0.6234256484256484
309,77.0,0.06493506493506493,0.27272727272727276,0.6004360453653806
311,141.0,0.20567375886524825,0.6099290780141844,0.3435796979062111
336,90.0,0.12222222222222222,0.3,0.5822081622081622
341,13.0,0.0,0.15384615384615385,0.7986208236208238
373,116.0,0.09482758620689655,0.3275862068965517,0.5342126531908479
435,21.0,0.0,0.14285714285714285,0.62931499717214
474,50.0,0.14,0.38,0.47905086580086575
484,4.0,0.25,0.75,0.14806547619047616
486,59.0,0.11864406779661017,0.3728813559322034,0.5309066887122195
499,20.0,0.1,0.4,0.5134254307783719
517,54.0,0.12962962962962962,0.2962962962962963,0.5453042328042328
528,37.0,0.10810810810810811,0.3783783783783784,0.4617988309164779
606,24.0,0.0,0.125,0.6525689588189589
649,9.0,0.0,0.6666666666666666,0.2897842897842898
651,13.0,0.0,0.46153846153846156,0.47053224553224554
722,15.0,0.26666666666666666,0.4,0.4756154956154956
774,12.0,0.25,0.25,0.6429590017825312
821,13.0,0.07692307692307693,0.5384615384615384,0.4166167166167166
833,17.0,0.0,0.29411764705882354,0.6106849033319621
865,297.0,0.07407407407407407,0.2558922558922559,0.6234873494904141
870,83.0,0.10843373493975904,0.2771084337349398,0.5929725483587992
900,5.0,0.0,0.0,0.7398412698412699
981,17.0,0.0,0.29411764705882354,0.47146325896325897
995,90.0,0.07777777777777778,0.3,0.48956490931498786
1010,141.0,0.11347517730496454,0.4113475177304965,0.4569302922227631
1070,22.0,0.09090909090909091,0.3181818181818182,0.5338474025974026
1093,189.0,0.1693121693121693,0.455026455026455,0.4677316625655611
1104,13.0,0.07692307692307693,0.15384615384615385,0.6544242794242794
1118,1.0,0.0,1.0,0.0
1183,16.0,0.25,0.5625,0.3140783512905223
1249,505.0,0.1485148514851485,0.4594059405940594,0.3882238296640305
1285,411.0,0.09245742092457421,0.35279805352798055,0.4834277407931676
1307,60.0,0.0,0.38333333333333336,0.47970082477435416
1335,17.0,0.0,0.17647058823529413,0.5667692601516131
1390,16.0,0.0625,0.5,0.38146081349206346
1405,13.0,0.07692307692307693,0.23076923076923078,0.47868317579856046
1471,52.0,0.09615384615384616,0.4807692307692308,0.5190288877788878
1472,4.0,0.25,0.5,0.3541666666666667
1475,619.0,0.17447495961227788,0.5605815831987075,0.33009165880247604
1482,15.0,0.06666666666666667,0.4,0.46092592592592596
1548,3.0,0.0,0.3333333333333333,0.40087145969498916
1555,6.0,0.0,0.3333333333333333,0.32016317016317014
