FoldDate,Algorithm,RaceId,HorseId,CourseName,Surface,Going,RaceType,DistanceInMeters,FinishingPosition,DecimalOdds,PredictedScore,WinProbability,FieldSize,RaceClass
2026-06-01,ProxyTSRXGBoostAlgorithm,921809,5353795,Gowran Park (IRE),Turf,Yielding,Other,1910,1,9.5,,0.15608707,8,
2026-06-01,ProxyTSRXGBoostAlgorithm,921809,6754624,Gowran Park (IRE),Turf,Yielding,Other,1910,2,7.5,,0.08456777,8,
2026-06-01,ProxyTSRXGBoostAlgorithm,921809,6233837,Gowran Park (IRE),Turf,Yielding,Other,1910,3,5.0,,0.120279945,8,
2026-06-01,ProxyTSRXGBoostAlgorithm,921809,7793572,Gowran Park (IRE),Turf,Yielding,Other,1910,4,4.5,,0.072502635,8,
2026-06-01,ProxyTSRXGBoostAlgorithm,921809,5357864,Gowran Park (IRE),Turf,Yielding,Other,1910,5,13.0,,0.17848542,8,
2026-06-01,ProxyTSRXGBoostAlgorithm,921809,5048231,Gowran Park (IRE),Turf,Yielding,Other,1910,6,15.0,,0.04982126,8,
2026-06-01,ProxyTSRXGBoostAlgorithm,921809,5134076,Gowran Park (IRE),Turf,Yielding,Other,1910,7,4.333333333333334,,0.15986216,8,
2026-06-01,ProxyTSRXGBoostAlgorithm,921809,5812356,Gowran Park (IRE),Turf,Yielding,Other,1910,8,7.5,,0.043182783,8,
2026-06-01,ProxyTSRXGBoostAlgorithm,920250,8678960,Lingfield (AW),AllWeather,Standard,Other,2412,1,2.1,,0.2546107,5,Class 4
2026-06-01,ProxyTSRXGBoostAlgorithm,920250,8124820,Lingfield (AW),AllWeather,Standard,Other,2412,2,9.5,,0.1543067,5,Class 4
2026-06-01,ProxyTSRXGBoostAlgorithm,920250,7020211,Lingfield (AW),AllWeather,Standard,Other,2412,3,4.0,,0.30331776,5,Class 4
2026-06-01,ProxyTSRXGBoostAlgorithm,920250,7852216,Lingfield (AW),AllWeather,Standard,Other,2412,4,7.5,,0.16997442,5,Class 4
2026-06-01,ProxyTSRXGBoostAlgorithm,920250,8120584,Lingfield (AW),AllWeather,Standard,Other,2412,5,7.0,,0.17063253,5,Class 4
2026-06-01,ProxyTSRXGBoostAlgorithm,919958,8214889,Lingfield,Turf,Good,Other,1407,1,5.5,,0.17065522,7,Class 5
2026-06-01,ProxyTSRXGBoostAlgorithm,919958,7020324,Lingfield,Turf,Good,Other,1407,2,4.5,,0.21503815,7,Class 5
2026-06-01,ProxyTSRXGBoostAlgorithm,919958,8313782,Lingfield,Turf,Good,Other,1407,3,26.0,,0.058606558,7,Class 5
2026-06-01,ProxyTSRXGBoostAlgorithm,919958,9088392,Lingfield,Turf,Good,Other,1407,4,12.0,,0.109819464,7,Class 5
2026-06-01,ProxyTSRXGBoostAlgorithm,919958,7020258,Lingfield,Turf,Good,Other,1407,5,5.0,,0.110669985,7,Class 5
2026-06-01,ProxyTSRXGBoostAlgorithm,919958,7784905,Lingfield,Turf,Good,Other,1407,6,2.625,,0.14979552,7,Class 5
