FoldDate,Algorithm,RaceId,HorseId,CourseName,Surface,Going,RaceType,DistanceInMeters,FinishingPosition,DecimalOdds,PredictedScore,WinProbability,FieldSize,RaceClass
2026-06-04,AbstainWrapperAlgorithm,919992,6626300,Ffos Las,Turf,Good To Soft,Other,2412,1,4.5,,0.11769691,6,Class 5
2026-06-04,AbstainWrapperAlgorithm,919992,6410536,Ffos Las,Turf,Good To Soft,Other,2412,2,6.0,,0.2567924,6,Class 5
2026-06-04,AbstainWrapperAlgorithm,919992,5894810,Ffos Las,Turf,Good To Soft,Other,2412,3,2.75,,0.24729094,6,Class 5
2026-06-04,AbstainWrapperAlgorithm,919992,5991244,Ffos Las,Turf,Good To Soft,Other,2412,4,4.0,,0.1394465,6,Class 5
2026-06-04,AbstainWrapperAlgorithm,919992,2844621,Ffos Las,Turf,Good To Soft,Other,2412,5,13.0,,0.10690789,6,Class 5
2026-06-04,AbstainWrapperAlgorithm,919992,5671267,Ffos Las,Turf,Good To Soft,Other,2412,6,17.0,,0.07066049,6,Class 5
2026-06-04,AbstainWrapperAlgorithm,919997,6202561,Hamilton,Turf,Good,Other,1709,1,5.5,,0.23677859,5,Class 2
2026-06-04,AbstainWrapperAlgorithm,919997,6613674,Hamilton,Turf,Good,Other,1709,2,2.5,,0.2436013,5,Class 2
2026-06-04,AbstainWrapperAlgorithm,919997,7390860,Hamilton,Turf,Good,Other,1709,3,4.0,,0.3211118,5,Class 2
2026-06-04,AbstainWrapperAlgorithm,919997,4634795,Hamilton,Turf,Good,Other,1709,4,4.5,,0.22321388,5,Class 2
2026-06-04,AbstainWrapperAlgorithm,919997,3848294,Hamilton,Turf,Good,Other,1709,5,21.0,,0.12102729,5,Class 2
2026-06-04,AbstainWrapperAlgorithm,921875,7801963,Leopardstown (IRE),Turf,Soft,Other,2412,1,1.25,,0.38240802,4,
2026-06-04,AbstainWrapperAlgorithm,921875,7525341,Leopardstown (IRE),Turf,Soft,Other,2412,2,7.0,,0.27899978,4,
2026-06-04,AbstainWrapperAlgorithm,921875,8183828,Leopardstown (IRE),Turf,Soft,Other,2412,3,8.5,,0.2562293,4,
2026-06-04,AbstainWrapperAlgorithm,921875,7588066,Leopardstown (IRE),Turf,Soft,Other,2412,4,29.0,,0.17874345,4,
2026-06-04,AbstainWrapperAlgorithm,920420,7847676,Lingfield (AW),AllWeather,Standard,Other,1407,1,2.0,,0.2226275,8,Class 5
2026-06-04,AbstainWrapperAlgorithm,920420,7592675,Lingfield (AW),AllWeather,Standard,Other,1407,2,17.0,,0.09512876,8,Class 5
2026-06-04,AbstainWrapperAlgorithm,920420,5325062,Lingfield (AW),AllWeather,Standard,Other,1407,3,5.0,,0.124722995,8,Class 5
2026-06-04,AbstainWrapperAlgorithm,920420,8335513,Lingfield (AW),AllWeather,Standard,Other,1407,4,29.0,,0.1135884,8,Class 5
2026-06-04,AbstainWrapperAlgorithm,920420,7727251,Lingfield (AW),AllWeather,Standard,Other,1407,5,10.0,,0.1994207,8,Class 5
2026-06-04,AbstainWrapperAlgorithm,920420,7205127,Lingfield (AW),AllWeather,Standard,Other,1407,6,7.5,,0.08390272,8,Class 5
2026-06-04,AbstainWrapperAlgorithm,920420,7718169,Lingfield (AW),AllWeather,Standard,Other,1407,7,10.0,,0.09030353,8,Class 5
2026-06-04,AbstainWrapperAlgorithm,920420,8330902,Lingfield (AW),AllWeather,Standard,Other,1407,8,17.0,,0.18597507,8,Class 5
2026-06-04,AbstainWrapperAlgorithm,919886,2928026,Uttoxeter,Turf,Good,Hurdle,4725,1,4.333333333333334,,0.19832578,7,Class 4
2026-06-04,AbstainWrapperAlgorithm,919886,3939851,Uttoxeter,Turf,Good,Hurdle,4725,2,2.5,,0.18431407,7,Class 4
2026-06-04,AbstainWrapperAlgorithm,919886,3098455,Uttoxeter,Turf,Good,Hurdle,4725,3,8.5,,0.16789351,7,Class 4
2026-06-04,AbstainWrapperAlgorithm,919886,7303393,Uttoxeter,Turf,Good,Hurdle,4725,4,8.0,,0.18497232,7,Class 4
2026-06-04,AbstainWrapperAlgorithm,919886,4231666,Uttoxeter,Turf,Good,Hurdle,4725,5,15.0,,0.12713565,7,Class 4
