FoldDate,Algorithm,RaceId,HorseId,CourseName,Surface,Going,RaceType,DistanceInMeters,FinishingPosition,DecimalOdds,PredictedScore
2026-05-29,RidgeRegressionAlgorithm,918997,7020234,Brighton,Turf,Good To Firm,Other,1206,2,2.4,
2026-05-29,RidgeRegressionAlgorithm,918999,4438500,Brighton,Turf,Good To Firm,Other,1407,2,9.0,
2026-05-29,RidgeRegressionAlgorithm,919005,6595664,Carlisle,Turf,Good,Other,1005,7,3.5,
2026-05-29,RidgeRegressionAlgorithm,919006,7613511,Carlisle,Turf,Good,Other,1206,2,5.0,
2026-05-29,RidgeRegressionAlgorithm,919002,6134824,Carlisle,Turf,Good,Other,2211,6,51.0,
2026-05-29,RidgeRegressionAlgorithm,921791,5154277,Carlisle,Turf,Good,Other,1407,5,10.0,
2026-05-29,RidgeRegressionAlgorithm,919010,5509256,Chepstow,Turf,Good To Firm,Other,2412,3,19.0,
2026-05-29,RidgeRegressionAlgorithm,919012,8935608,Chepstow,Turf,Good To Firm,Other,2010,1,2.875,
2026-05-29,RidgeRegressionAlgorithm,919013,7861444,Chepstow,Turf,Good To Firm,Other,1608,3,3.25,
2026-05-29,RidgeRegressionAlgorithm,921644,7516457,Down Royal (IRE),Turf,Good,Other,1005,8,6.0,
2026-05-29,RidgeRegressionAlgorithm,921648,6710714,Down Royal (IRE),Turf,Good,Other,3217,1,1.8333333333333333,
2026-05-29,RidgeRegressionAlgorithm,921657,4100977,Tramore (IRE),Turf,Good,Hurdle,3217,1,7.0,
2026-05-29,RidgeRegressionAlgorithm,921789,5123487,Wolverhampton (AW),AllWeather,Standard,Other,1005,9,29.0,
2026-05-29,RidgeRegressionAlgorithm,921790,8062546,Wolverhampton (AW),AllWeather,Standard,Other,2412,1,4.333333333333334,
2026-05-29,XGBoostAlgorithm,918997,7020234,Brighton,Turf,Good To Firm,Other,1206,2,2.4,
2026-05-29,XGBoostAlgorithm,918999,6509780,Brighton,Turf,Good To Firm,Other,1407,3,3.5,
2026-05-29,XGBoostAlgorithm,919005,6595664,Carlisle,Turf,Good,Other,1005,7,3.5,
2026-05-29,XGBoostAlgorithm,919006,7613511,Carlisle,Turf,Good,Other,1206,2,5.0,
