FoldDate,Algorithm,RaceId,HorseId,CourseName,Surface,Going,RaceType,DistanceInMeters,FinishingPosition,DecimalOdds,ResolvedOdds,PredictedScore,WinProbability,MarketProb,FieldSize,RaceClass
2026-06-16,RidgeRegressionAlgorithm,917807,4481322,Ascot,Turf,Good To Firm,Other,1608,7,7.0,7.0,17.016517788740984,,0.1288626785008986,9,Class 1
2026-06-16,RidgeRegressionAlgorithm,917808,7627162,Ascot,Turf,Good To Firm,Other,1608,6,17.0,17.0,16.965706145192716,,0.052475729566329496,6,Class 1
2026-06-16,RidgeRegressionAlgorithm,921103,3880932,Beverley,Turf,Good,Other,1005,8,6.5,6.5,17.253949954381774,,0.13170800955047485,9,Class 5
2026-06-16,RidgeRegressionAlgorithm,921105,2687060,Beverley,Turf,Good,Other,1709,7,5.0,5.0,16.027484074160746,,0.17003996665883006,8,Class 6
2026-06-16,RidgeRegressionAlgorithm,921104,2801626,Beverley,Turf,Good,Other,2010,6,7.0,7.0,15.682111439717488,,0.119632069659115,10,Class 6
2026-06-16,RidgeRegressionAlgorithm,921014,7051295,Stratford,Turf,Good,Hurdle,3719,1,1.4444444444444444,1.4444444444444444,13.788937414806657,,0.5588551495981637,7,Class 4
2026-06-16,RidgeRegressionAlgorithm,921013,3224061,Stratford,Turf,Good,SteepleChase,3418,3,3.5,3.5,13.47452343350646,,0.28662420382165604,5,Class 4
2026-06-16,RidgeRegressionAlgorithm,921012,2901155,Stratford,Turf,Good,Hurdle,3317,2,13.0,13.0,13.876531784800259,,0.07002121855107608,3,Class 3
2026-06-16,RidgeRegressionAlgorithm,921017,3473062,Stratford,Turf,Good,Hurdle,3719,3,4.0,4.0,13.675413376937122,,0.22645578720345075,4,Class 5
2026-06-16,RidgeRegressionAlgorithm,921107,9208605,Thirsk,Turf,Good,Other,2412,2,2.5,2.5,15.60882598860649,,0.35737871475742955,5,Class 3
2026-06-16,RidgeRegressionAlgorithm,921108,4175545,Thirsk,Turf,Good,Other,1407,6,3.75,3.75,16.444224829699493,,0.22348283819430526,10,Class 4
2026-06-16,RidgeRegressionAlgorithm,921109,4415424,Thirsk,Turf,Good,Other,1005,5,17.0,17.0,16.942843218673268,,0.04901348008991424,10,Class 5
2026-06-16,RidgeRegressionAlgorithm,921112,4924655,Thirsk,Turf,Good,Other,1005,1,4.6,4.6,17.06623006705083,,0.1783434408879891,10,Class 6
2026-06-16,RidgeRegressionAlgorithm,921406,7020235,Wolverhampton (AW),AllWeather,Standard,Other,1206,6,41.0,41.0,16.483050933051626,,0.020120520354734328,10,Class 5
2026-06-16,RidgeRegressionAlgorithm,921407,8227213,Wolverhampton (AW),AllWeather,Standard,Other,2412,6,15.0,15.0,15.202164060836422,,0.055460543022143975,10,Class 6
2026-06-16,RidgeRegressionAlgorithm,921408,6134848,Wolverhampton (AW),AllWeather,Standard,Other,1709,3,67.0,67.0,16.022399895137227,,0.01226839521456299,10,Class 6
2026-06-16,XGBoostAlgorithm,917807,4481322,Ascot,Turf,Good To Firm,Other,1608,7,7.0,7.0,16.733814239501953,,0.1288626785008986,9,Class 1
2026-06-16,XGBoostAlgorithm,917808,7395230,Ascot,Turf,Good To Firm,Other,1608,2,3.0,3.0,16.667469024658203,,0.2973624675425338,6,Class 1
2026-06-16,XGBoostAlgorithm,921103,5884213,Beverley,Turf,Good,Other,1005,7,4.0,4.0,17.025964736938477,,0.21402551551952162,9,Class 5
2026-06-16,XGBoostAlgorithm,921105,2526479,Beverley,Turf,Good,Other,1709,6,5.0,5.0,15.927108764648438,,0.17003996665883006,8,Class 6
2026-06-16,XGBoostAlgorithm,921104,6649589,Beverley,Turf,Good,Other,2010,7,10.0,10.0,15.487981796264648,,0.08374244876138051,10,Class 6
2026-06-16,XGBoostAlgorithm,921014,6278737,Stratford,Turf,Good,Hurdle,3719,3,6.5,6.5,13.671147346496582,,0.12419003324403638,7,Class 4
2026-06-16,XGBoostAlgorithm,921013,3224061,Stratford,Turf,Good,SteepleChase,3418,3,3.5,3.5,13.399114608764648,,0.28662420382165604,5,Class 4
2026-06-16,XGBoostAlgorithm,921012,5809876,Stratford,Turf,Good,Hurdle,3317,3,2.1,2.1,13.586075782775879,,0.4334646862685662,3,Class 3
2026-06-16,XGBoostAlgorithm,921017,3473062,Stratford,Turf,Good,Hurdle,3719,3,4.0,4.0,13.64095401763916,,0.22645578720345075,4,Class 5
2026-06-16,XGBoostAlgorithm,921107,9290876,Thirsk,Turf,Good,Other,2412,4,6.0,6.0,15.504277229309082,,0.14890779781559563,5,Class 3
2026-06-16,XGBoostAlgorithm,921108,3297869,Thirsk,Turf,Good,Other,1407,2,4.333333333333334,4.333333333333334,16.461549758911133,,0.19339860997584105,10,Class 4
2026-06-16,XGBoostAlgorithm,921109,5826592,Thirsk,Turf,Good,Other,1005,6,6.5,6.5,17.038007736206055,,0.12818910177362186,10,Class 5
2026-06-16,XGBoostAlgorithm,921112,4924655,Thirsk,Turf,Good,Other,1005,1,4.6,4.6,16.997167587280273,,0.1783434408879891,10,Class 6
2026-06-16,XGBoostAlgorithm,921406,7583064,Wolverhampton (AW),AllWeather,Standard,Other,1206,1,6.5,6.5,16.599292755126953,,0.1269140514683242,10,Class 5
2026-06-16,XGBoostAlgorithm,921407,7780579,Wolverhampton (AW),AllWeather,Standard,Other,2412,9,12.0,12.0,15.175758361816406,,0.06932567877767996,10,Class 6
2026-06-16,XGBoostAlgorithm,921408,6134848,Wolverhampton (AW),AllWeather,Standard,Other,1709,3,67.0,67.0,15.960494041442871,,0.01226839521456299,10,Class 6
2026-06-16,RatingsXGBoostAlgorithm,921017,5793389,Stratford,Turf,Good,Hurdle,3719,1,7.0,7.0,,0.12824974954128265,0.1294033069734004,4,Class 5
2026-06-16,RatingsXGBoostAlgorithm,921017,5340126,Stratford,Turf,Good,Hurdle,3719,2,3.75,3.75,,0.26976004242897034,0.2415528396836808,4,Class 5
2026-06-16,RatingsXGBoostAlgorithm,921017,3473062,Stratford,Turf,Good,Hurdle,3719,3,4.0,4.0,,0.1869383305311203,0.22645578720345075,4,Class 5
2026-06-16,RatingsXGBoostAlgorithm,921017,2765600,Stratford,Turf,Good,Hurdle,3719,4,2.25,2.25,,0.3039737939834595,0.40258806613946796,4,Class 5
2026-06-16,RatingsXGBoostUngatedAlgorithm,917807,5248390,Ascot,Turf,Good To Firm,Other,1608,1,51.0,51.0,,0.012185364961624146,0.017687034304044908,9,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917807,5864565,Ascot,Turf,Good To Firm,Other,1608,2,4.5,4.5,,0.2187131643295288,0.2004530554458423,9,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917807,7055588,Ascot,Turf,Good To Firm,Other,1608,3,4.5,4.5,,0.23682771623134613,0.2004530554458423,9,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917807,7015879,Ascot,Turf,Good To Firm,Other,1608,4,12.0,12.0,,0.06678687781095505,0.07516989579219086,9,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917807,6088045,Ascot,Turf,Good To Firm,Other,1608,5,15.0,15.0,,0.05286034196615219,0.06013591663375269,9,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917807,5608567,Ascot,Turf,Good To Firm,Other,1608,6,3.25,3.25,,0.25220611691474915,0.27755038446347396,9,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917807,4481322,Ascot,Turf,Good To Firm,Other,1608,7,7.0,7.0,,0.15255840122699738,0.1288626785008986,9,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917807,4438482,Ascot,Turf,Good To Firm,Other,1608,8,51.0,51.0,,0.014533720910549164,0.017687034304044908,9,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917807,5829364,Ascot,Turf,Good To Firm,Other,1608,9,41.0,41.0,,0.015376059338450432,0.02200094510990952,9,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917808,7947753,Ascot,Turf,Good To Firm,Other,1608,1,1.8333333333333333,1.8333333333333333,,0.48756158351898193,0.4865931287059645,6,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917808,7395230,Ascot,Turf,Good To Firm,Other,1608,2,3.0,3.0,,0.2746773660182953,0.2973624675425338,6,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917808,8245526,Ascot,Turf,Good To Firm,Other,1608,3,6.5,6.5,,0.14039549231529236,0.13724421578886178,6,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917808,7204797,Ascot,Turf,Good To Firm,Other,1608,4,51.0,51.0,,0.016716502606868744,0.017491909855443168,6,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917808,7887298,Ascot,Turf,Good To Firm,Other,1608,5,101.0,101.0,,0.008852655068039894,0.008832548540867341,6,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,917808,7627162,Ascot,Turf,Good To Firm,Other,1608,6,17.0,17.0,,0.03926575556397438,0.052475729566329496,6,Class 1
2026-06-16,RatingsXGBoostUngatedAlgorithm,921103,3767116,Beverley,Turf,Good,Other,1005,1,12.0,12.0,,0.050440166145563126,0.0713418385065072,9,Class 5
2026-06-16,RatingsXGBoostUngatedAlgorithm,921103,5174513,Beverley,Turf,Good,Other,1005,2,7.0,7.0,,0.11959397047758102,0.12230029458258378,9,Class 5
2026-06-16,RatingsXGBoostUngatedAlgorithm,921103,4436510,Beverley,Turf,Good,Other,1005,3,6.0,6.0,,0.15529654920101166,0.1426836770130144,9,Class 5
2026-06-16,RatingsXGBoostUngatedAlgorithm,921103,4459203,Beverley,Turf,Good,Other,1005,4,23.0,23.0,,0.0367102324962616,0.03722182878600376,9,Class 5
2026-06-16,RatingsXGBoostUngatedAlgorithm,921103,4332885,Beverley,Turf,Good,Other,1005,5,7.5,7.5,,0.10967440903186798,0.11414694161041153,9,Class 5
2026-06-16,RatingsXGBoostUngatedAlgorithm,921103,2996576,Beverley,Turf,Good,Other,1005,6,8.5,8.5,,0.1052948459982872,0.10071788965624547,9,Class 5
2026-06-16,RatingsXGBoostUngatedAlgorithm,921103,5884213,Beverley,Turf,Good,Other,1005,7,4.0,4.0,,0.203234001994133,0.21402551551952162,9,Class 5
2026-06-16,RatingsXGBoostUngatedAlgorithm,921103,3880932,Beverley,Turf,Good,Other,1005,8,6.5,6.5,,0.12727004289627075,0.13170800955047485,9,Class 5
2026-06-16,RatingsXGBoostUngatedAlgorithm,921103,6087981,Beverley,Turf,Good,Other,1005,9,13.0,13.0,,0.0656009092926979,0.06585400477523742,9,Class 5
2026-06-16,RatingsXGBoostUngatedAlgorithm,921105,3588902,Beverley,Turf,Good,Other,1709,1,9.0,9.0,,0.09891089797019958,0.09446664814379448,8,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921105,6006021,Beverley,Turf,Good,Other,1709,2,15.0,15.0,,0.046254683285951614,0.056679988886276685,8,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921105,7457901,Beverley,Turf,Good,Other,1709,3,12.0,12.0,,0.0586717315018177,0.07084998610784586,8,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921105,5942420,Beverley,Turf,Good,Other,1709,4,6.0,6.0,,0.1287267953157425,0.14169997221569172,8,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921105,2729681,Beverley,Turf,Good,Other,1709,5,4.333333333333334,4.333333333333334,,0.20128624141216278,0.19619996152941926,8,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921105,2526479,Beverley,Turf,Good,Other,1709,6,5.0,5.0,,0.1761856973171234,0.17003996665883006,8,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921105,2687060,Beverley,Turf,Good,Other,1709,7,5.0,5.0,,0.15833202004432678,0.17003996665883006,8,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921105,7195636,Beverley,Turf,Good,Other,1709,8,8.5,8.5,,0.10495823621749878,0.1000235097993118,8,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921104,4363056,Beverley,Turf,Good,Other,2010,1,6.5,6.5,,0.14622823894023895,0.12883453655597002,10,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921104,5176441,Beverley,Turf,Good,Other,2010,2,5.0,5.0,,0.16686862707138062,0.16748489752276102,10,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921104,5021315,Beverley,Turf,Good,Other,2010,3,4.333333333333334,4.333333333333334,,0.19855408370494843,0.193251804833955,10,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921104,4967852,Beverley,Turf,Good,Other,2010,4,11.0,11.0,,0.07996845245361328,0.07612949887398228,10,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921104,2791132,Beverley,Turf,Good,Other,2010,5,5.5,5.5,,0.16756367683410645,0.15225899774796456,10,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921104,2801626,Beverley,Turf,Good,Other,2010,6,7.0,7.0,,0.10355758666992188,0.119632069659115,10,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921104,6649589,Beverley,Turf,Good,Other,2010,7,10.0,10.0,,0.06983569264411926,0.08374244876138051,10,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921104,5737956,Beverley,Turf,Good,Other,2010,8,15.0,15.0,,0.05966443940997124,0.05582829917425367,10,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921104,6327916,Beverley,Turf,Good,Other,2010,9,67.0,67.0,,0.010859291069209576,0.012498872949459778,10,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921104,5047946,Beverley,Turf,Good,Other,2010,10,81.0,81.0,,0.003565091174095869,0.010338573921158088,10,Class 6
2026-06-16,RatingsXGBoostUngatedAlgorithm,921014,7051295,Stratford,Turf,Good,Hurdle,3719,1,1.4444444444444444,1.4444444444444444,,0.6930176019668579,0.5588551495981637,7,Class 4
2026-06-16,RatingsXGBoostUngatedAlgorithm,921014,7347760,Stratford,Turf,Good,Hurdle,3719,2,3.5,3.5,,0.2565038800239563,0.2306386331674961,7,Class 4
2026-06-16,RatingsXGBoostUngatedAlgorithm,921014,6278737,Stratford,Turf,Good,Hurdle,3719,3,6.5,6.5,,0.12938106060028076,0.12419003324403638,7,Class 4
2026-06-16,RatingsXGBoostUngatedAlgorithm,921014,4994499,Stratford,Turf,Good,Hurdle,3719,4,21.0,21.0,,0.0432344488799572,0.03843977219458269,7,Class 4
2026-06-16,RatingsXGBoostUngatedAlgorithm,921014,6692983,Stratford,Turf,Good,Hurdle,3719,5,67.0,67.0,,0.0051032062619924545,0.012048286807257261,7,Class 4
2026-06-16,RatingsXGBoostUngatedAlgorithm,921014,8236345,Stratford,Turf,Good,Hurdle,3719,6,29.0,29.0,,0.02368575520813465,0.027835697106421947,7,Class 4
2026-06-16,RatingsXGBoostUngatedAlgorithm,921014,7200322,Stratford,Turf,Good,Hurdle,3719,7,101.0,101.0,,0.0019515742314979434,0.007992427882041945,7,Class 4
2026-06-16,RatingsXGBoostUngatedAlgorithm,921013,3964559,Stratford,Turf,Good,SteepleChase,3418,1,9.0,9.0,,0.10803639888763428,0.11146496815286623,5,Class 4
2026-06-16,RatingsXGBoostUngatedAlgorithm,921013,6578002,Stratford,Turf,Good,SteepleChase,3418,2,4.0,4.0,,0.2520628869533539,0.250796178343949,5,Class 4
2026-06-16,RatingsXGBoostUngatedAlgorithm,921013,3224061,Stratford,Turf,Good,SteepleChase,3418,3,3.5,3.5,,0.2874755859375,0.28662420382165604,5,Class 4
2026-06-16,RatingsXGBoostUngatedAlgorithm,921013,8344595,Stratford,Turf,Good,SteepleChase,3418,4,4.0,4.0,,0.2293194979429245,0.250796178343949,5,Class 4
2026-06-16,RatingsXGBoostUngatedAlgorithm,921013,4288026,Stratford,Turf,Good,SteepleChase,3418,5,10.0,10.0,,0.10376997292041779,0.10031847133757962,5,Class 4
